driver,constructor,constructor_clean,year
Giuseppe FARINA,Alfa Romeo,Alfa Romeo,1950
Juan Manuel FANGIO,Alfa Romeo,Alfa Romeo,1951
Alberto ASCARI,Ferrari,Ferrari,1952
Alberto ASCARI,Ferrari,Ferrari,1953
Juan Manuel FANGIO,Maserati,Maserati,1954
Juan Manuel FANGIO,Mercedes,Mercedes,1954
Juan Manuel FANGIO,Mercedes,Mercedes,1955
Juan Manuel FANGIO,Ferrari,Ferrari,1956
Juan Manuel FANGIO,Maserati,Maserati,1957
Mike HAWTHORN,Ferrari,Ferrari,1958
Jack BRABHAM,Cooper Climax,Cooper,1959
Jack BRABHAM,Cooper Climax,Cooper,1960
Phil HILL,Ferrari,Ferrari,1961
Graham HILL,BRM,BRM,1962
Jim CLARK,Lotus Climax,Lotus,1963
John SURTEES,Ferrari,Ferrari,1964
Jim CLARK,Lotus Climax,Lotus,1965
Jack BRABHAM,Brabham Repco,Brabham,1966
Denny Hulme,Brabham Repco,Brabham,1967
Graham HILL,Lotus Ford Cosworth,Lotus,1968
Jackie STEWART,Matra Ford Cosworth,Matra,1969
Jochen RINDT,Lotus Ford Cosworth,Lotus,1970
Jackie STEWART,Tyrrell Ford Cosworth,Tyrrell,1971
Emerson FITTIPALDI,Lotus Ford Cosworth,Lotus,1972
Jackie STEWART,Tyrrell Ford Cosworth,Tyrrell,1973
Emerson FITTIPALDI,McLaren Ford Cosworth,McLaren,1974
Niki LAUDA,Ferrari,Ferrari,1975
James HUNT,Mclaren Ford Cosworth,McLaren,1976
Niki LAUDA,Ferrari,Ferrari,1977
Mario ANDRETTI,Lotus Ford Cosworth,Lotus,1978
Jody SCHECKTER,Ferrari,Ferrari,1979
Alan JONES,Williams Ford Cosworth,Williams,1980
Nelson PIQUET,Brabham Ford Cosworth,Brabham,1981
Keke ROSBERG,Williams Ford Cosworth,Williams,1982
Nelson PIQUET,Brabham BMW,Brabham,1983
Niki LAUDA,McLaren TAG Porsche,McLaren,1984
Alain PROST,McLaren TAG Porsche,McLaren,1985
Alain PROST,McLaren TAG Porsche,McLaren,1986
Nelson PIQUET,Williams Honda,Williams,1987
Ayrton Senna,McLaren Honda,McLaren,1988
Alain PROST,McLaren Honda,McLaren,1989
Ayrton Senna,McLaren Honda,McLaren,1990
Ayrton Senna,McLaren Honda,McLaren,1991
Nigel MANSELL,Williams Renault,Williams,1992
Alain PROST,Williams Renault,Williams,1993
Michael SCHUMACHER,Benetton Ford Cosworth,Benetton,1994
Michael SCHUMACHER,Benetton Renault,Benetton,1995
Damon HILL,Williams Renault,Williams,1996
Jacques VILLENEUVE,Williams Renault,Williams,1997
Mika HAKKINEN,McLaren Mercedes,McLaren,1998
Mika HAKKINEN,McLaren Mercedes,McLaren,1999
Michael SCHUMACHER,Ferrari,Ferrari,2000
Michael SCHUMACHER,Ferrari,Ferrari,2001
Michael SCHUMACHER,Ferrari,Ferrari,2002
Michael SCHUMACHER,Ferrari,Ferrari,2003
Michael SCHUMACHER,Ferrari,Ferrari,2004
Fernando ALONSO,Renault,Renault,2005
Fernando ALONSO,Renault,Renault,2006
Kimi RAIKKONEN,Ferrari,Ferrari,2007
Lewis HAMILTON,McLaren Mercedes,McLaren,2008
Jenson BUTTON,Brawn GP Mercedes,Brawn GP,2009
Sebastian VETTEL,Red Bull Renault,Red Bull,2010
Sebastian VETTEL,Red Bull Renault,Red Bull,2011
Sebastian VETTEL,Red Bull Renault,Red Bull,2012
Sebastian VETTEL,Red Bull Renault,Red Bull,2013
Lewis Hamilton,Mercedes,Mercedes,2014
Lewis Hamilton,Mercedes,Mercedes,2015
Nico ROSBERG,Mercedes,Mercedes,2016
Lewis Hamilton,Mercedes,Mercedes,2017
Lewis Hamilton,Mercedes,Mercedes,2018
Lewis Hamilton,Mercedes,Mercedes,2019
